group_key,n,within_group_rmse_mean,within_group_rmse_max
"[""1::1::6""]",9,0.03200848673259363,0.06908328716963257
"[""1::1::60""]",9,0.035292377947937714,0.06609196302219547
"[""1::1::61""]",9,0.016966116834544985,0.02791518249106272
"[""1::1::62""]",9,0.02637824767538382,0.06887288676539177
"[""1::1::63""]",9,0.03686207037262877,0.08135541531095478
"[""1::1::64""]",9,0.021709001845882838,0.03992572118006871
"[""1::1::65""]",9,0.03970159055560128,0.07721851809722505
"[""1::1::66""]",9,0.03962475427340299,0.08068095963539912
"[""1::1::67""]",9,0.0201515838408789,0.03314792633300256
"[""1::1::68""]",9,0.05958978635161944,0.16667265079604518
"[""1::1::69""]",9,0.04084015802623289,0.08493709552427399
"[""1::1::7""]",9,0.05099765066514432,0.11164042499176016
"[""1::1::70""]",9,0.041478382006635915,0.09350204448690005
"[""1::1::71""]",9,0.059557757296757115,0.23743161337291924
"[""1::1::72""]",8,0.03137078677492147,0.06226194112351795
"[""1::1::73""]",9,0.048835601659691634,0.15157848092378384
"[""1::1::74""]",9,0.026846677822186943,0.0847001095965399
"[""1::1::75""]",8,0.02908075114083794,0.058023166076827566
"[""1::1::76""]",9,0.05404313573071815,0.17439832889476162
"[""1::1::77""]",9,0.018441854105042774,0.0362042079780877
"[""1::1::78""]",9,0.05270781867339783,0.10379507202113146
"[""1::1::79""]",9,0.017029836834641127,0.056043712099009824
"[""1::1::8""]",9,0.046907718749128836,0.10319373940820657
"[""1::1::80""]",9,0.02160757857970243,0.04927967638719191
"[""1::1::81""]",9,0.015177324707343613,0.031110804792108558
"[""1::1::82""]",9,0.0667179690499469,0.15843548229326973
"[""1::1::83""]",9,0.06801297697341974,0.1937493648819313
"[""1::1::84""]",9,0.040045430208140595,0.10219241649543194
"[""1::1::85""]",9,0.04363937547778014,0.10989414053870436
"[""1::1::86""]",9,0.04056749951106269,0.09295821939878726
"[""1::1::87""]",8,0.018146536353894877,0.04290786096469243
"[""1::1::88""]",9,0.07192597114105068,0.24281057676112586
"[""1::1::89""]",9,0.04240797382867785,0.0884191309711067
"[""1::1::9""]",9,0.02470713489538757,0.045062691431235084
"[""1::1::90""]",9,0.04091733733224013,0.14289740067073609
"[""1::1::91""]",9,0.03551721592746504,0.09759181884802799
"[""1::1::92""]",9,0.04003810868743679,0.12230957176276021
"[""1::1::93""]",8,0.029359084416645313,0.047012250248069355
"[""1::1::94""]",8,0.029236893203938907,0.061103015663594565
"[""1::1::95""]",8,0.022907370072035263,0.0699689571504231
"[""1::1::96""]",8,0.03177159406858274,0.05965328727287104
"[""1::1::97""]",8,0.02730988514146196,0.054405411823507825
"[""1::1::98""]",8,0.028738250070354604,0.061338066378854604
"[""1::1::99""]",8,0.037077909357480406,0.060899307758659045
"[""2::2::173""]",8,0.031540752232930756,0.0570046048118752
"[""2::2::174""]",9,0.026502783385013863,0.060712152785240614
"[""2::2::175""]",9,0.019433570900484906,0.033258737858892766
"[""2::2::176""]",9,0.035687241446563774,0.06497225673900102
"[""2::2::177""]",9,0.02781204905027984,0.0441462324632682
