geometry,component,eigenvalue,explained_variance_ratio,cumulative_explained_variance
body_site_10,11,2.5989465333654603e-06,1.9542947542770673e-05,0.9999474280728065
body_site_10,12,1.7354508848000464e-06,1.3049835835131073e-05,0.9999604779086416
body_site_10,13,1.235758246931954e-06,9.29236453512737e-06,0.9999697702731768
body_site_10,14,7.731631898363956e-07,5.81385090727805e-06,0.999975584124084
body_site_10,15,5.80447412570076e-07,4.364712082208439e-06,0.9999799488361663
body_site_10,16,4.5438218444869056e-07,3.416756397659074e-06,0.9999833655925638
body_site_10,17,3.614260390469577e-07,2.7177666146673454e-06,0.9999860833591785
body_site_10,18,3.2476190031282336e-07,2.4420682381200594e-06,0.9999885254274166
body_site_10,19,2.6632359017460495e-07,2.0026375630917126e-06,0.9999905280649797
body_site_10,20,2.2620889100970357e-07,1.700992472894909e-06,0.9999922290574526
body_site_10,21,1.9362159188350792e-07,1.4559501570150444e-06,0.9999936850076095
body_site_10,22,1.741743762863909e-07,1.3097155541141286e-06,0.9999949947231637
body_site_10,23,1.4519850161368666e-07,1.0918295793683269e-06,0.9999960865527431
body_site_10,24,1.242416366158793e-07,9.342430695824849e-07,0.9999970207958125
body_site_10,25,9.74949718010336e-08,7.331197833932429e-07,0.999997753915596
body_site_10,26,7.970112703437907e-08,5.993178100188123e-07,0.999998353233406
body_site_10,27,6.842233434538921e-08,5.145061946058226e-07,0.9999988677396007
body_site_10,28,5.2030439725855515e-08,3.912462765722856e-07,0.9999992589858773
body_site_10,29,4.211234903566263e-08,3.1666654836530065e-07,0.9999995756524256
body_site_10,30,3.145030533589611e-08,2.364926171019116e-07,0.9999998121450427
body_site_10,31,2.4982157330650553e-08,1.878549573645631e-07,1.0
body_site_11,1,0.12125774562746669,0.9312203986006617,0.9312203986006617
body_site_11,2,0.006816214596211497,0.05234633087054472,0.9835667294712065
body_site_11,3,0.0011875829746809603,0.00912025442441724,0.9926869838956237
body_site_11,4,0.0004253022972720229,0.0032661845455068316,0.9959531684411306
body_site_11,5,0.0003523770650077425,0.0027061422693967063,0.9986593107105273
body_site_11,6,7.248837363740269e-05,0.0005566873426784662,0.9992159980532057
body_site_11,7,4.126046600097809e-05,0.00031686707844563933,0.9995328651316514
body_site_11,8,2.7554280588993064e-05,0.00021160799271386445,0.9997444731243652
body_site_11,9,1.1652150640955975e-05,8.948476081488463e-05,0.9998339578851801
body_site_11,10,9.230631645180282e-06,7.088827551164367e-05,0.9999048461606918
body_site_11,11,3.7665367220243364e-06,2.89257878701073e-05,0.9999337719485618
body_site_11,12,3.125454107088237e-06,2.400248004240906e-05,0.9999577744286042
body_site_11,13,1.220467035021099e-06,9.372793407548524e-06,0.9999671472220117
body_site_11,14,8.585471946093001e-07,6.5933656991925344e-06,0.9999737405877109
body_site_11,15,6.177491692702738e-07,4.7441144865948e-06,0.9999784847021975
body_site_11,16,5.750360441302685e-07,4.416091454230705e-06,0.9999829007936518
body_site_11,17,3.742015512892435e-07,2.873747288846371e-06,0.9999857745409406
body_site_11,18,3.514565546245284e-07,2.699073046383059e-06,0.999988473613987
body_site_11,19,2.834338698366999e-07,2.176680754540381e-06,0.9999906502947415
body_site_11,20,2.5225028117788455e-07,1.9372008457692303e-06,0.9999925874955873
body_site_11,21,1.7933053166800954e-07,1.3772006754455551e-06,0.9999939646962628
body_site_11,22,1.345880786518716e-07,1.0335930591530288e-06,0.9999949982893219
body_site_11,23,1.265379166268096e-07,9.717704097957733e-07,0.9999959700597317
body_site_11,24,1.100764187671257e-07,8.453514126493636e-07,0.9999968154111445
body_site_11,25,1.0217444200428758e-07,7.84666778337999e-07,0.9999976000779228
body_site_11,26,8.901035802127979e-08,6.835708568326571e-07,0.9999982836487796
body_site_11,27,7.051595437692766e-08,5.415397985736126e-07,0.9999988251885782
body_site_11,28,6.030716958738666e-08,4.631396222240421e-07,0.9999992883282004
body_site_11,29,5.2489844826200905e-08,4.0310508799752686e-07,0.9999996914332884
body_site_11,30,3.0111845565022505e-08,2.3124926729060162e-07,0.9999999226825557
body_site_11,31,1.006779813328289e-08,7.731744427700327e-08,0.9999999999999999
body_site_12,1,0.17978890503546613,0.9219021901079888,0.9219021901079888
body_site_12,2,0.013092317505579763,0.06713337610906626,0.989035566217055
body_site_12,3,0.0012189536719177975,0.006250419399125403,0.9952859856161804
body_site_12,4,0.0004302023064337482,0.0022059450688158106,0.9974919306849962
body_site_12,5,0.00033909170498791903,0.0017387579362260846,0.9992306886212223
body_site_12,6,6.484588245928393e-05,0.00033250973438492346,0.9995631983556073
body_site_12,7,4.3992213084277696e-05,0.00022557853379268612,0.9997887768893999
body_site_12,8,1.5222885472927324e-05,7.805827314252992e-05,0.9998668351625424
body_site_12,9,1.0013348657223124e-05,5.134537114839131e-05,0.9999181805336907
body_site_12,10,7.573722980807567e-06,3.8835721269342785e-05,0.9999570162549601
body_site_12,11,2.9680102600998416e-06,1.5219043458267156e-05,0.9999722352984184
body_site_12,12,1.708135656652125e-06,8.758794112231237e-06,0.9999809940925306
body_site_12,13,1.0879327768312952e-06,5.5785845597824076e-06,0.9999865726770903
body_site_12,14,6.681261873627519e-07,3.4259455291566325e-06,0.9999899986226195
body_site_12,15,5.836457478625492e-07,2.9927558271493873e-06,0.9999929913784467
body_site_12,16,3.618219775610325e-07,1.8553117806514185e-06,0.9999948466902275
